,EU,US
2020-01-22,0,1
2020-01-23,0,1
2020-01-24,2,2
2020-01-25,3,2
2020-01-26,3,5
2020-01-27,4,5
2020-01-28,8,5
2020-01-29,10,5
2020-01-30,10,5
2020-01-31,14,7
2020-02-01,19,8
2020-02-02,21,8
2020-02-03,23,11
2020-02-04,24,11
2020-02-05,24,11
2020-02-06,24,11
2020-02-07,26,11
2020-02-08,31,11
2020-02-09,33,11
2020-02-10,33,11
2020-02-11,35,12
2020-02-12,35,12
2020-02-13,35,13
2020-02-14,35,13
2020-02-15,36,13
2020-02-16,36,13
2020-02-17,36,13
2020-02-18,36,13
2020-02-19,36,13
2020-02-20,36,13
2020-02-21,53,15
2020-02-22,95,15
2020-02-23,188,15
2020-02-24,262,51
2020-02-25,365,51
2020-02-26,523,57
2020-02-27,777,58
2020-02-28,1054,60
2020-02-29,1403,68
2020-03-01,2112,74
2020-03-02,2602,98
2020-03-03,3191,118
2020-03-04,4049,149
2020-03-05,5349,217
2020-03-06,6933,262
2020-03-07,8924,402
2020-03-08,11284,518
2020-03-09,13944,583
2020-03-10,16924,959
2020-03-11,21514,1281
2020-03-12,22087,1663
2020-03-13,34964,2179
2020-03-14,42437,2727
2020-03-15,49782,3499
2020-03-16,59934,4632
2020-03-17,69859,6421
2020-03-18,82238,7783
2020-03-19,99058,13747
2020-03-20,116514,19273
2020-03-21,135185,25600
2020-03-22,152018,33276
2020-03-23,174698,43843
2020-03-24,195234,53736
2020-03-25,221662,65778
2020-03-26,252770,83836
2020-03-27,283266,101657
2020-03-28,315136,121465
2020-03-29,340432,140909
2020-03-30,366693,161831
2020-03-31,396982,188172
2020-04-01,426761,213242
2020-04-02,455201,243622
2020-04-03,485403,275367
2020-04-04,512693,308650
2020-04-05,534320,336802
2020-04-06,555216,366317
2020-04-07,577758,397121
2020-04-08,603702,428654
2020-04-09,629161,462780
2020-04-10,655247,496535
2020-04-11,677095,526396
2020-04-12,720747,555313
2020-04-13,738009,580619
2020-04-14,754294,607670
2020-04-15,775598,636350
2020-04-16,808511,667592
2020-04-17,829492,699706
2020-04-18,841668,732197
2020-04-19,864030,758809
2020-04-20,876886,784326
2020-04-21,892311,811865
2020-04-22,905169,840351
2020-04-23,922735,869170
2020-04-24,941681,905358
2020-04-25,955695,938154
2020-04-26,967102,965785
2020-04-27,979286,988197
2020-04-28,991335,1012582
2020-04-29,1000942,1039909
